idiom,original_definition
勢如破竹,"形勢如同劈竹子一般，只要劈開上端，底下自然就會隨著刀勢分開。比喻戰事進展順利，毫無阻礙。語本《晉書．卷三四．杜預列傳》。後亦用「勢如破竹」來比喻事情進展順利，毫無阻礙。
△「銳不可當」、「勢不可當」"
滄海桑田,"滄海，指大海。桑田，植桑之田，指陸地。「滄海桑田」指大海變為陸地，陸地淪為大海。比喻環境改變很大。語本晉．葛洪《神仙傳》。後亦用「滄海桑田」比喻世事無常，變化很快。_x000D_
△「白雲蒼狗」、「滄海揚塵」"
夜郎自大,"夜郎，漢代西南邊境的一個小國。「夜郎自大」指夜郎國王妄自尊大。＃典出《史記．卷一一六．西南夷列傳》。後用「夜郎自大」比喻人見識短淺，狂妄自大。
△「妄自尊大」"
信口雌黃,"雌黃，橙黃色礦物，成分是三硫化二砷，可作退色劑，古代用於塗改文字。本指有如口中含著雌黃，能隨時改正不合意的語句。＃語本晉．孫盛《晉陽秋》。後用「信口雌黃」比喻不顧事實真相，隨口亂說或妄加批評。_x000D_
△「妄下雌黃」、「信口開河」"
作法自斃,"「作法自斃」之「斃」，典源作「敝」。「敝」，義同「斃」。自己訂立的法規，反而使自己受害。比喻自作自受。語本《史記．卷六八．商君列傳》。
△「作繭自縛」"
杞人憂天,"古時杞國有個人，因為擔心天會塌下來而憂慮不安。典出《列子．天瑞》。後用「杞人憂天」比喻缺乏根據且不必要的憂慮。
△「庸人自擾」"
不學無術,"「不學無術」之「無」，典源作「亡」。「亡」通「無」。指不知研習經典，並從中獲取經驗與知識，以致行為處事有所偏頗或錯誤。語出《漢書．卷六八．霍光金日磾傳．霍光》。後用「不學無術」泛指人未經學習而沒有學問才幹。_x000D_
△「目不識丁」、「胸無點墨」"
走馬看花,"（一）騎馬快走以觀賞花景，形容抱負實現或遊賞時得意愉快的心情。語本唐．孟郊〈登科後〉詩。_x000D_
△「走馬探花」、「春風得意」_x000D_
（二）比喻粗略、匆促地觀看，不能仔細深入了解事物。※語或出清．吳喬《圍爐詩話》卷三。_x000D_
△「走馬看錦」、「浮光掠影」"
杯弓蛇影,"將酒杯裡的弓影，誤以為是蛇，以致喝下後心生疑懼。＃典出漢．應劭《風俗通義．卷九．世間多有見怪驚怖以自傷者》。後用「杯弓蛇影」比喻為不存在的事情枉自驚擾。
△「風聲鶴唳」、「草木皆兵」"
東山再起,"指晉朝人謝安退職隱居東山，後來又再度入朝擔任要職。＃典出南朝宋．劉義慶《世說新語．排調》。後用「東山再起」比喻官員退隱後，再度出任官職。亦用於比喻失敗後重新崛起。
△「捲土重來」"
樂不思蜀,"快樂到一點也不想回去蜀國。典出晉．習鑿齒《漢晉春秋》。後用「樂不思蜀」比喻人因留戀異地而不想返回故鄉。或形容快樂得忘了歸去。
△「流遯忘反」、「樂而忘返」"
濫竽充數,"竽，古代一種吹奏樂器。「濫竽充數」意謂不會吹竽的人，混雜於眾多樂工中湊數。典出《韓非子．內儲說上》。後用「濫竽充數」比喻沒有真才實學的人，混在行家中充數。亦用於比喻拿不好的東西充場面。亦用於自謙，比喻自己才德不足。
△「魚目混珠」"
功虧一簣,"堆土成山，已至九仞，卻因差最後一簣而不能成功。比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。語出《書經．旅獒》。_x000D_
△「功敗垂成」、「前功盡棄」"
入木三分,"指墨跡深透木板三分，形容筆力遒勁。＃語出南朝宋．羊欣《筆陣圖》。後用「入木三分」比喻評論深刻中肯或描寫生動逼真。_x000D_
△「鞭辟入裡」"
螳臂當車,"當車，音ㄉㄤ　ㄔㄜ，立於車道中，後世或將「當」解為「擋」之假借，讀作ㄉㄤˇ。「螳臂當車」指螳螂立於車道中，舉起雙臂，妄想要阻擋車子前進。比喻不自量力。＃語本《莊子．人間世》。
△「蚍蜉撼樹」"
咄咄逼人,"（一）咄咄，本為驚嘆之聲。逼人，情勢逼人。「咄咄逼人」本形容情勢險惡逼人，使人畏懼的意思。語出南朝宋．劉義慶《世說新語．排調》。後用「咄咄逼人」形容言語凌厲，氣勢逼人。_x000D_
△「盲人瞎馬」、「盛氣凌人」_x000D_
（二）形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。※＃語或出晉．衛鑠〈與釋某書〉。"
出類拔萃,"遠超出同類之上，高出同群。形容才能特出，超越眾人。語本《孟子．公孫丑上》。
△「出人頭地」、「超群絕倫」"
一竅不通,"一個心竅都沒有通。語本《呂氏春秋．貴直論．過理》。後用「一竅不通」比喻人昏昧不明事理，或對某事完全不懂。
△「一無所知」。"
吹毛求疵,"吹開細毛，仔細尋找皮上的小毛病。比喻刻意挑剔過失或缺點。＃語本《韓非子．大體》。
△「求全責備」"
孤注一擲,"「孤注」，賭博時將所有資本下注。＃語出宋．司馬光《涑水記聞》卷六。「一擲」，擲一次骰子來決定勝負。※語或出《晉書．卷八五．何無忌列傳》。後以「孤注一擲」指賭博時，傾其所有而下注，並以一擲決定勝負。比喻危急時，投入全部力量，作最後的冒險。_x000D_
△「背水一戰」"
滄海一粟,"大海中的一粒粟米。比喻渺小而微不足道。語本宋．蘇軾〈赤壁賦〉。_x000D_
△「九牛一毛」"
痛心疾首,"疾首，頭痛。心中痛恨到頭都痛了。比喻痛恨到極點。語出《左傳．成公十三年》。_x000D_
△「咬牙切齒」、「深惡痛絕」"
扶搖直上,"扶搖，自下盤旋而上的暴風。「扶搖直上」指隨急遽的旋風，盤旋而上。語本《莊子．逍遙遊》。後用「扶搖直上」比喻快速上升，亦用來比喻仕途得意。_x000D_
△「青雲直上」"
風聲鶴唳,"聽到風聲和鶴鳴，都以為是敵兵。語出《晉書．卷七九．謝安列傳》。後用「風聲鶴唳」形容驚慌疑懼，自相侵擾。_x000D_
△「杯弓蛇影」、「風聲鶴唳，草木皆兵」、「草木皆兵」、「草行露宿」"
老當益壯,"指年紀雖大但身體仍然強健，且志氣豪壯。語出《後漢書．卷二四．馬援列傳》。
△「老驥伏櫪」"
未雨綢繆,"還沒有下雨之前，就先把門窗修好。語本《詩經．豳風．鴟鴞》。後用「未雨綢繆」比喻事先預備以防患未然。_x000D_
△「防患未然」、「防微杜漸」"
不共戴天,"不與殺父的仇人共存於世間。◎語本《禮記．曲禮上》。後用「不共戴天」比喻仇恨極深。
△「勢不兩立」"
剛愎自用,"愎，任性、固執。「剛愎自用」指性情倔強，自以為是。＃語本《左傳．宣公十二年》。_x000D_
△「師心自用」"
出爾反爾,"你怎麼對待別人，別人也會怎麼待你。語本《孟子．梁惠王下》。後用「出爾反爾」比喻人的言行前後反覆，自相矛盾。_x000D_
△「反覆無常」、「朝三暮四」、「朝秦暮楚」"
目不識丁,"連「丁」字都不認識。比喻不識字或毫無學問。＃語本《舊唐書．卷一二九．張延賞列傳》。_x000D_
△「不學無術」、「胸無點墨」"
百折不撓,"意志剛強，即使受到很多挫折，仍不屈服。語出漢．蔡邕〈太尉橋公碑〉。_x000D_
△「不屈不撓」"
拾人牙慧,"牙慧，言談間流露出的智慧。語本南朝宋．劉義慶《世說新語．文學》。後用「拾人牙慧」比喻蹈襲他人的言論或主張。_x000D_
△「人云亦云」、「拾人涕唾」"
耳濡目染,"「耳濡目染」之「濡」，典源作「擩」。「擩」義同「濡」。濡，習染、感染。「耳濡目染」指經常聽到、看到而深受影響。語本唐．韓愈〈清河郡公房公墓碣銘〉。_x000D_
△「潛移默化」"
杯水車薪,"以一杯水去撲滅一車木柴所燃起的火。比喻力量太小，無濟於事。＃語本《孟子．告子上》。
△「無濟於事」"
車載斗量,"用車裝，拿斗量。形容數量很多，不可勝數。語出《吳書》。
△「汗牛充棟」"
燃眉之急,"像火燒眉毛般緊迫。形容事態嚴重，情況危急。※語或出明．李開先〈亡妹盧氏婦墓志銘〉。
△「當務之急」"
言不由衷,"「言不由衷」之「衷」，典源作「中」。「中」同「衷」，指內心。「言不由衷」則指所說的話不是發自於內心。形容言詞與心意相違背。語本《左傳．隱公三年》。後用「言不由衷」泛指心口不一，虛應敷衍。
△「口是心非」、「言由衷發」"
不倫不類,"「不倫不類」有兩種解，一是不合道理、法式，二是不像樣。語本唐．劉知幾《史通．卷一六．雜說上》。後用「不倫不類」形容事物不成體統。_x000D_
△「不三不四」"
虎頭蛇尾,"虎頭形大，蛇尾體小。做事起初聲勢浩大，後來卻無聲息。比喻做事有始無終。※語或出元．康進之《李逵負荊》第二折。
△「有始無終」、「龍頭蛇尾」"
空中樓閣,"空中顯現的樓臺觀閣。※語或本唐．宋之問〈遊法華寺〉詩。後用「空中樓閣」來比喻思想明澈通達。或比喻虛構的事物或不切實際的幻想。
△「海市蜃樓」"
天經地義,"天地間原本如此而不容改變的道理。語本《左傳．昭公二十五年》。
△「理所當然」"
心猿意馬,"心思如猿猴不定地跳躍、快馬四處地奔馳而難以控制。比喻心思不專注集中。語本《參同契．卷上．中篇》漢．徐景休箋註。後亦用於比喻心意反覆不定。
△「心不在焉」、「見異思遷」"
群策群力,"聚合眾人的智慧和能力。語本漢．揚雄《法言．重黎》。
△「同心同德」、「同心協力」、「戮力同心」"
有備無患,"事先有準備，即可免除後患。＃語出《書經．說命中》。
△「曲突徙薪」"
裹足不前,"包纏腳部，不往前行。形容有所顧忌，而停止腳步，不敢向前。＃語本《戰國策．秦策三》。
△「畏縮不前」"
戰戰兢兢,"戰，害怕而發抖，通「顫」。兢兢，小心謹慎的樣子。「戰戰兢兢」形容戒慎恐懼的樣子。語出《詩經．小雅．小旻》。
△「如臨深淵」、「如履薄冰」、「誠惶誠恐」、「暴虎馮河」、「臨深履薄」"
借花獻佛,"借用別人的花供養佛。典出《過去現在因果經》卷一。後用「借花獻佛」比喻借用他人的東西來作人情。
△「慷他人之慨」"
故步自封,"「故步」，舊的步法。比喻舊方法。語出《漢書．卷一○○．敘傳上》。「自封」，自我限制。語出晉．庾闡〈斷酒戒〉。「故步自封」指安於現狀，不求進取。
△「墨守成規」"
笑裡藏刀,"笑容的後面藏著刀。形容人外貌和善可親，內心卻陰險狠毒。＃語本《舊唐書．卷八二．李義府列傳》。
△「口蜜腹劍」"
水到渠成,"水流過處自然成渠。比喻事情自然發展，結果自成。※＃語或出宋．蘇軾〈答秦太虛書〉其四。後亦用「水到渠成」比喻事情條件完備則自然成功，不須強求。
△「水到魚行」、「瓜熟蒂落」"
芒刺在背,"像是有許多細小的芒刺沾在背上。比喻因畏忌而極度不安。語出《漢書．卷六八．霍光金日磾傳．霍光》。_x000D_
△「如坐針氈」"
開門見山,"一開門就見到對門的山巒。比喻說話或寫文章直接了當，一開始就進入正題。※語或出宋．嚴羽《滄浪詩話．詩評》。
△「開宗明義」"
土崩瓦解,"土石崩塌、磚瓦破碎。比喻人民的反抗，及政權內部的爭鬥。語本《史記．卷一一二．主父偃列傳》。後亦用「土崩瓦解」來比喻澈底潰敗，不可收拾。
△「分崩離析」"
東施效顰,"春秋越國醜女東施模仿美女西施捧心皺眉，然卻更見其醜。比喻盲目胡亂地模仿他人，結果卻適得其反。典出《莊子．天運》。
△「邯鄲學步」"
從善如流,"聽從好的意見，就像流水般的自然順暢。比喻樂於接受別人好的意見。◎語出《左傳．成公八年》。
△「從誨如流」、「從諫如流」"
袖手旁觀,"把手縮在袖子裡，在一旁觀看。形容置身事外，不予過問。語本唐．韓愈〈祭柳子厚文〉。
△「冷眼旁觀」"
因勢利導,"順著事物發展的趨勢，朝有利的方向引導。語本《史記．卷六五．孫子吳起傳．孫子》。
△「順水推舟」"
畏首畏尾,"前也畏懼，後也畏懼。語出《左傳．文公十七年》。後用「畏首畏尾」形容疑慮顧忌，膽小怕事。
△「左顧右盼」、「鹿死不擇音」、「鋌而走險」"
名不虛傳,"名聲與實際相符，而非徒有虛名。※◎語或本《史記．卷七五．孟嘗君列傳》。_x000D_
△「名副其實」"
喪心病狂,"「喪心」，失掉本心。語出《左傳．昭公二十五年》。「病狂」，瘋狂的病症。語出《漢書．卷七三．韋賢傳》。「喪心病狂」指喪失理性，舉止荒謬、反常。亦用來形容人殘忍可惡到了極點。
△「喪盡天良」"
見異思遷,"見到別的事物就改變心意，比喻意志不堅定。＃語本《管子．小匡》。
△「心猿意馬」"
明察秋毫,"目光敏銳，可看見秋天鳥獸新長的毫毛。＃語本《纏子》。後用「明察秋毫」比喻洞察一切，能看到極細微的地方。
△「洞若觀火」"
作威作福,"君主獨攬權勢，專行賞罰。語本《書經．洪範》。後用「作威作福」指仗著權勢欺壓別人。_x000D_
△「橫行霸道」"
兩袖清風,"（一）形容喝茶或飲酒後清爽舒暢的感覺。※語或出元．高文秀《遇上皇》第一折。_x000D_
△「兩腋清風」_x000D_
（二）形容瀟灑飄逸、超脫凡俗的樣子。※語或出元．陳基〈次韻吳江道中〉詩。_x000D_
（三）除兩袖之清風外，身上別無所有。形容作官廉潔，毫無貪贓枉法之事。＃語本明．田汝成《西湖遊覽志餘．卷八．賢達高風》。_x000D_
△「囊空如洗」、「兩腋清風」"
明目張膽,"張大眼，壯著膽。形容有膽識，無所畏懼。＃語本《史記．卷八九．張耳陳餘列傳》。後用「明目張膽」比喻肆無忌憚地公然做壞事。
△「明火執仗」"
肝膽相照,"以肝膽互相照見。比喻赤忱相處。＃語本《史記．卷九二．淮陰侯列傳》。
△「肝膽照人」、「披肝瀝膽」"
民不聊生,"聊生，賴以維生。「民不聊生」指人民無法生活下去。形容百姓生活非常困苦。＃語本《戰國策．秦策四》。_x000D_
△「生靈塗炭」"
明哲保身,"明達事理、洞見時勢的人，不參與會帶給自己危險的事。語本《詩經．大雅．烝民》。後亦用「明哲保身」指為了個人得失而喪失原則的庸俗處世態度。_x000D_
△「獨善其身」"
妄自菲薄,"隨意看輕自己，不知自重。＃語出三國蜀．諸葛亮〈出師表〉。
△「自暴自棄」"
泥牛入海,"泥塑的牛掉入海中。比喻人種種互相矛盾的思慮被解開。＃語本《祖堂集．卷六．洞山和尚》。後用「泥牛入海」比喻一去不復返。
△「杳如黃鶴」"
休戚相關,"彼此歡樂憂愁、幸福禍患，互相關聯。語本《國語．周語下》。後用「休戚相關」形容彼此間的關係密切，利害一致。_x000D_
△「休戚與共」"
重整旗鼓,"重新整頓發號施令的旗幟和戰鼓。比喻失敗後積聚力量，重新行動。※語或本《圓悟佛果禪師語錄》卷一七。
△「另起爐灶」"
脣亡齒寒,"沒有了嘴脣，牙齒就會感到寒冷。比喻關係密切，利害相關。◎語出《左傳．僖公五年》。
△「脣齒相依」、「輔車相依」"
文過飾非,"「文過」，掩飾過失。語本《論語．子張》。「飾非」，遮掩過錯。語出《莊子．盜跖》。「文過飾非」指掩飾過失、錯誤。
△「諱疾忌醫」"
別出心裁,"「別出心裁」之「心」，典源作「新」。心裁，心中的設計謀畫。「別出心裁」，形容獨出巧思，不同流俗。※語或本明．李贄〈忠義水滸傳全書發凡〉。
△「自出機杼」、「別出新意」"
大公無私,"謂秉公處理，毫無偏私。語本《管子．形勢解》。
△「鐵面無私」、「鐵面御史」"
落井下石,"本指別人掉入陷阱或井中，不但不相救，反而向他投擲石塊。比喻乘人危難時，加以陷害。語本唐．韓愈〈柳子厚墓誌銘〉。_x000D_
△「乘人之危」"
臨渴掘井,"等到口渴時才挖井取水。比喻事到臨頭才著手準備，為時已晚。＃語本《黃帝內經素問．卷一．四氣調神大論》。
△「臨陣磨槍」"
八面玲瓏,"形容屋子四面八方敞亮通明。語本唐．盧綸〈賦得彭祖樓送楊宗德歸徐州幕〉詩。後用「八面玲瓏」形容人言行手段，十分巧妙，處世圓融。
△「面面俱到」"
一揮而就,"一動筆，文章就寫成了。形容才思敏捷，落筆成章。語本《摭言》。後用「一揮而就」形容在書畫作文方面的敏捷高超。
△「一氣呵成」、「一揮立就」、「下筆成章」、「援筆立成」"
一意孤行,"謝絕一切請託，按照己意獨立處理公事。語本《史記．卷一二二．酷吏列傳．張湯》。後用「一意孤行」形容人固執己見，獨斷獨行。_x000D_
△「我行我素」"
汗牛充棟,"汗牛，指運送書籍時，以牛負載，累得出汗。充棟，指書籍繁多，堆滿整幢房屋。「汗牛充棟」形容書籍極多。語本唐．柳宗元〈唐故給事中皇太子侍讀陸文通先生墓表〉。
△「車載斗量」"
仰人鼻息,"仰賴別人鼻子裡呼出的氣息而生存。比喻依靠他人生活。＃語本《後漢書．卷七四上．袁紹劉表列傳．袁紹》。後用「仰人鼻息」比喻看別人的臉色行事，不能自主。
△「寄人籬下」"
乳臭未乾,"嘴裡還有奶腥味。譏諷人年紀輕，沒有經驗與能力。語本《漢書．卷一．高帝紀上》。
△「羽毛未豐」"
開門揖盜,"揖，請。「開門揖盜」比喻引進壞人，自招禍患。語出《三國志．卷四七．吳書．吳主權傳》。
△「引狼入室」"
危如累卵,"重疊起來的蛋，隨時有跌破的可能。比喻情況非常危險。＃語本《韓非子．十過》。
△「千鈞一髮」"
得意忘形,"（一）形，形體。「得意忘形」指因心意志趣獲得滿足而物我兩忘。語本《晉書．卷四九．阮籍列傳》。形容人高興過頭，舉止失去常態。_x000D_
△「得意洋洋」_x000D_
（二）形，形式。「得意忘形」指文學藝術創作上，取其精神而捨其形式。語本宋．歐陽修〈李邕書〉。"
三令五申,"再三命令告誡。＃語出《史記．卷六五．孫子吳起列傳．孫武》。
△「耳提面命」"
短兵相接,"以短小的刀、劍等武器交手搏鬥。語出戰國楚．屈原〈九歌．國殤〉。後用「短兵相接」形容近距離激烈地搏打、爭鬥。
△「針鋒相對」"
按部就班,"寫作文章時，依照文義、安排部次，考究詞語，組織章句。語出晉．陸機〈文賦〉。後用「按部就班」比喻做事依照一定的層次、步驟進行。
△「按部就隊」、「循序漸進」"
錦上添花,"錦，彩飾的絲織品。「錦上添花」指在有彩色花紋的絲織品上再繡上花朵。比喻美上加美，喜上加喜。※＃語或出宋．黃庭堅〈了了菴頌〉。後亦用「錦上添花」形容花樣繁複、精采。
△「如虎添翼」"
得隴望蜀,"隴，地名，位約當今甘肅省。蜀，地名，位約當今四川省。「得隴望蜀」指平定隴西之後，又想進軍蜀地。＃語本《東觀漢記．卷二三．隗囂傳》。後用「得隴望蜀」比喻貪得無厭，不知滿足。
△「得寸進尺」"
沾沾自喜,"形容自得自滿的樣子。語出《史記．卷一○七．魏其武安侯列傳》。_x000D_
△「自鳴得意」"
毛遂自薦,"戰國時，平原君之門下食客毛遂自薦跟隨前往楚國遊說。典出《史記．卷七六．平原君虞卿列傳．平原君》。後用「毛遂自薦」比喻自告奮勇，自我推薦。
△「自告奮勇」、「脫穎而出」"
外強中乾,"「外強中乾」之「強」，典源作「彊」。「彊」同「強」。形容馬的外表看似強壯，內在卻氣力衰竭。語出《左傳．僖公十五年》。後用「外強中乾」泛喻各種事物外表看似充實強盛，實則空虛衰弱。
△「色厲內荏」"
井井有條,"形容整齊有序，條理分明。語本《荀子．儒效》。
△「有條不紊」"
六神無主,"形容心慌意亂，拿不定主意。※語或出《醒世恆言．卷二九．盧太學詩酒傲王侯》。
△「手足無措」、「不知所措」"
本末倒置,"事物的先後次序顛倒。語本《禮記．大學》。後用「本末倒置」比喻不知事情的輕重緩急。
△「輕重倒置」"
良莠不齊,"良，指禾苗。莠，惡草，俗稱狗尾草，葉與禾苗相似，難以辨認。「良莠不齊」，謂好壞參差，素質不一。※語或出清．紀昀《閱微草堂筆記．卷一○．如是我聞四》。_x000D_
△「參差不齊」"
水乳交融,"水與乳融合在一起。比喻彼此關係密切，契合無間。※語或本《高僧傳．三集．卷一六．唐撫州景雲寺上恆傳》。
△「如膠似漆」"
夜以繼日,"以夜晚接續白天，晝夜都不歇息。※＃語或出《孟子．離婁下》。亦用來形容工作勤奮，日夜不停。
△「通宵達旦」"
防微杜漸,"在錯誤或壞事萌芽的時候及時制止，杜絕它發展。※語或本漢．丁鴻〈日食上封事〉。
△「未雨綢繆」、「防患未然」"
岌岌可危,"岌岌，危險的樣子。「岌岌可危」形容非常危險。＃語本《管子．小問》。_x000D_
△「搖搖欲墜」"
沽名釣譽,"「沽名」，用手段謀取名聲。※語或出《廙別傳》。「釣譽」，用手段謀取讚譽。語本《漢書．卷五八．公孫弘卜式兒寬傳．公孫弘》。「沽名釣譽」指故意做作，用手段謀取名聲和讚譽。
△「欺世盜名」"
以訛傳訛,"訛，錯誤。「以訛傳訛」指將不正確的訊息繼續傳播下去。語本宋．王柏〈默成定武蘭亭記〉。
△「道聽塗說」"
一落千丈,"本指琴聲由高驟然下降到很低。語出唐．韓愈〈聽穎師彈琴〉詩。後用「一落千丈」比喻成績、地位、景況、情緒或聲望等急遽下降。_x000D_
△「一瀉千里」"
一針見血,"一針刺入手指，鮮血即出。語本《晉書．卷六六．陶侃列傳》。後用「一針見血」比喻言論簡潔透澈，深中肯綮（ㄑㄧㄥˋ）。
△「一語道破」"
萬籟俱寂,萬物無聲，一片寂靜。語本唐．常建〈題破山寺後禪院〉詩。 △「鴉雀無聲」
笑容可掬,"笑容滿溢，似乎可用雙手捧取。形容笑容滿面的樣子。※語或出《三國演義》第九五回。
△「喜形於色」"
揮金如土,"花錢就像撒土一樣。比喻極端浪費錢財。語出宋．毛滂〈祭鄭庭誨文〉。
△「一擲千金」"
嗤之以鼻,"嗤，譏笑。「嗤之以鼻」指用鼻子哼氣譏笑某一人事物，以表示不屑、鄙視。※語或出《黃繡球》第七回。
△「不屑一顧」"
急流勇退,"在湍急的水勢中，當機立斷，回舟退出。比喻人於得意順遂時，及時隱退。＃語出宋．邵伯溫《邵氏聞見錄》卷七。
△「功成身退」"
赴湯蹈火,"甘願奔投至烈火沸水當中。比喻奮不顧身，不避艱險。※＃語本《漢書．卷四九．爰盎鼂錯傳．鼂錯》。
△「出生入死」、「赴火蹈刃」"
包藏禍心,"懷藏詭計，圖謀害人。語出《左傳．昭公元年》。
△「居心叵測」"
旗鼓相當,"軍旗和戰鼓表現出的氣勢相當，形容兩方軍隊陣容、聲勢不相上下。※＃語或本《後漢書．卷一三．隗囂公孫述列傳．隗囂》。後用「旗鼓相當」比喻雙方勢均力敵。
△「旗鼓相望」、「勢均力敵」"
樂不可支,"快樂到無法受得住，形容快樂到了極點。＃語出《東觀漢記．卷一五．張堪列傳》。_x000D_
△「喜不自勝」、「樂不可言」"
分道揚鑣,"分道而行，形容各走各的路。＃語本《魏書．卷一四．神元平文諸帝子孫列傳．河間公齊》。後用「分道揚鑣」比喻人依其志向，各奔前程。_x000D_
△「各奔前程」"
曇花一現,"曇花，一種多在夜間開放，開後不久旋即凋謝的花。「曇花一現」比喻事物稀有難得。語本《妙法蓮華經．方便品》。後用「曇花一現」比喻人或事物一出現便迅速消失。
△「過眼雲煙」"
目中無人,"眼中除自己外，沒有他人。形容人高傲自大，瞧不起別人。※語或出《初刻拍案驚奇》卷一三。
△「目空一切」、「旁若無人」"
春風得意,"春風吹拂中，心情怡然自得，指登進士第後稱心如意的感受。語出唐．孟郊〈登科後〉詩。後用「春風得意」形容人因事情如願以償而心情愉悅滿足。
△「走馬看花」、「躊躇滿志」"
難兄難弟,"「難兄難弟」之「難」，有二讀，其意義也不同：（一）音ㄋㄢˊ，本義是做弟弟的太好，那麼做哥哥的人就「難為兄」，而做哥哥的太好，做弟弟的人就「難為弟」，是形容兄弟二人才德相當，難分高下。語本南朝宋．劉義慶《世說新語．德行》。後世多反用其義，諷刺兩人同樣差勁，表現差不多。（二）音ㄋㄢˋ，形容同處困境、共同患難的朋友。_x000D_
△「患難之交」"
海闊天空,"形容天地遼闊而無邊際。※語或本北周．庾信〈道士步虛詞〉一○首之一○。後用「海闊天空」比喻心胸開闊、心情開朗，或形容無拘無束，漫無邊際的樣子。
△「天南地北」"
偷天換日,"比喻騙局之大與技巧之妙。※語或出《群音類選．官腔類．卷一一．竊符記．如姬竊符》。
△「移花接木」"
孤芳自賞,"比喻自命清高，自我欣賞。語本南朝梁．沈約〈謝齊竟陵王教撰高士傳啟〉。
△「自命不凡」"
坐以待斃,"坐著等死。比喻面臨危難，不採取積極的應變措施，只坐等敗亡。_x000D_
＃語本《管子．參患》。_x000D_
△「束手就擒」"
一舉兩得,"比喻做一件事，同時有兩方面的收穫。
＃◎語本《戰國策．秦策二》。
△「一箭雙雕」"
守口如瓶,"嘴像瓶口一樣封得嚴緊。語出《法苑珠林．卷四七．懲過篇．引證部》。後用「守口如瓶」比喻嚴守祕密。
△「防意如城」、「諱莫如深」"
自投羅網,"自己投入羅網裡。比喻落入他人圈套或自取禍害。語本三國魏．曹植〈野田黃雀行〉。
△「自掘墳墓」"
人面獸心,"形容文化未開，不懂禮儀，表面上看起來像是人，內心卻像野獸一般。語出《漢書．卷九四．匈奴傳下》。後用「人面獸心」形容人凶狠殘暴，如野獸一般。_x000D_
△「衣冠禽獸」"
忘恩負義,"受人恩惠不知報答，反而做出對不起恩人的事情。語本《漢書．卷七六．趙尹韓張兩王傳．張敞》。
△「五日京兆」、「背信棄義」"
川流不息,"像河川般奔流不停，比喻時光無止盡地流逝。※語或本《論語．子罕》。後用「川流不息」形容連綿不絕或往返不斷。
△「絡繹不絕」"
