編號,成語,釋義,用法說明-語義說明,三歲版解釋
11,勢如破竹,"形勢如同劈竹子一般，只要劈開上端，底下自然就會隨著刀勢分開。比喻戰事進展順利，毫無阻礙。語本《晉書．卷三四．杜預列傳》。後亦用「勢如破竹」來比喻事情進展順利，毫無阻礙。
△「銳不可當」、「勢不可當」",比喻戰事進展順利。＆比喻事情進展順利。,事情進展很順利，像砍開竹子後下面自然裂開，一路沒有阻礙。
12,滄海桑田,"滄海，指大海。桑田，植桑之田，指陸地。「滄海桑田」指大海變為陸地，陸地淪為大海。比喻環境改變很大。語本晉．葛洪《神仙傳》。後亦用「滄海桑田」比喻世事無常，變化很快。
△「白雲蒼狗」、「滄海揚塵」",大海變為陸地，陸地淪為大海。比喻環境變化很大。＆比喻世事無常，變化很快。,本來是海的地方變成陸地，原來的陸地變成海，表示變化很大，事情會改變。
13,夜郎自大,"夜郎，漢代西南邊境的一個小國。「夜郎自大」指夜郎國王妄自尊大。＃典出《史記．卷一一六．西南夷列傳》。後用「夜郎自大」比喻人見識短淺，狂妄自大。
△「妄自尊大」",比喻人見識短淺，狂妄自大。貶義。,指一個人眼光很窄，卻自以為了不起，總覺得自己比別人強。
14,信口雌黃,"雌黃，橙黃色礦物，成分是三硫化二砷，可作退色劑，古代用於塗改文字。本指有如口中含著雌黃，能隨時改正不合意的語句。＃語本晉．孫盛《晉陽秋》。後用「信口雌黃」比喻不顧事實真相，隨口亂說或妄加批評。
△「妄下雌黃」、「信口開河」",比喻不顧事實真相，隨口亂說或妄加批評。,隨便亂說話，沒有根據，把別人說得很不真實。
15,作法自斃,"「作法自斃」之「斃」，典源作「敝」。「敝」，義同「斃」。自己訂立的法規，反而使自己受害。比喻自作自受。語本《史記．卷六八．商君列傳》。
△「作繭自縛」",比喻自作自受。,自己訂的規矩反而害到自己，要自己承擔後果。
16,杞人憂天,"古時杞國有個人，因為擔心天會塌下來而憂慮不安。典出《列子．天瑞》。後用「杞人憂天」比喻缺乏根據且不必要的憂慮。
△「庸人自擾」",比喻缺乏根據且不必要的憂慮。,沒事也一直擔心那些不會發生沒有根據的事情
17,不學無術,"「不學無術」之「無」，典源作「亡」。「亡」通「無」。指不知研習經典，並從中獲取經驗與知識，以致行為處事有所偏頗或錯誤。語出《漢書．卷六八．霍光金日磾傳．霍光》。後用「不學無術」泛指人未經學習而沒有學問才幹。
△「目不識丁」、「胸無點墨」",人未經學習而沒有學問才幹。貶義。,沒學習也沒本領，做事容易犯錯又不懂方法。
18,走馬看花,"（一）騎馬快走以觀賞花景，形容抱負實現或遊賞時得意愉快的心情。語本唐．孟郊〈登科後〉詩。
△「走馬探花」、「春風得意」
（二）比喻粗略、匆促地觀看，不能仔細深入了解事物。※語或出清．吳喬《圍爐詩話》卷三。
△「走馬看錦」、「浮光掠影」",比喻粗略、匆促地觀看，不能仔細深入。,匆匆看過一眼，只看表面，沒有仔細去了解。
19,杯弓蛇影,"將酒杯裡的弓影，誤以為是蛇，以致喝下後心生疑懼。＃典出漢．應劭《風俗通義．卷九．世間多有見怪驚怖以自傷者》。後用「杯弓蛇影」比喻為不存在的事情枉自驚擾。
△「風聲鶴唳」、「草木皆兵」",比喻為不存在的事情枉自驚疑恐懼。,把杯中弓影看成蛇，無事自驚自怕，白白擔心啦。
20,東山再起,"指晉朝人謝安退職隱居東山，後來又再度入朝擔任要職。＃典出南朝宋．劉義慶《世說新語．排調》。後用「東山再起」比喻官員退隱後，再度出任官職。亦用於比喻失敗後重新崛起。
△「捲土重來」",比喻官員退隱後，再度出任官職。＆比喻失敗後重新崛起。,原本離開後再回來做重要的工作，或失敗後再重新站起來。
21,樂不思蜀,"快樂到一點也不想回去蜀國。典出晉．習鑿齒《漢晉春秋》。後用「樂不思蜀」比喻人因留戀異地而不想返回故鄉。或形容快樂得忘了歸去。
△「流遯忘反」、「樂而忘返」",比喻人因留戀異地而不想返回故鄉。＆形容快樂得忘了歸去。,在別的地方太快樂，留戀那裡不想回自己的老家。
22,濫竽充數,"竽，古代一種吹奏樂器。「濫竽充數」意謂不會吹竽的人，混雜於眾多樂工中湊數。典出《韓非子．內儲說上》。後用「濫竽充數」比喻沒有真才實學的人，混在行家中充數。亦用於比喻拿不好的東西充場面。亦用於自謙，比喻自己才德不足。
△「魚目混珠」",比喻沒有真才實學的人，混在行家中充數。貶義。＆比喻拿不好的東西充場面。貶義。＆作為自謙之詞，比喻自己才德不足。,沒真本領的人混在專家裡，頂多是湊數騙人罷了。
23,功虧一簣,"堆土成山，已至九仞，卻因差最後一簣而不能成功。比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。語出《書經．旅獒》。
△「功敗垂成」、「前功盡棄」",比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。,快要完成時卻在最後一刻放棄，前面的努力都白費。
24,入木三分,"指墨跡深透木板三分，形容筆力遒勁。＃語出南朝宋．羊欣《筆陣圖》。後用「入木三分」比喻評論深刻中肯或描寫生動逼真。
△「鞭辟入裡」",形容筆力遒勁。＆比喻評論深刻中肯或描寫生動逼真。褒義。,指寫字或評論很有力，描寫生動又很中肯，讓人信服。
25,螳臂當車,"當車，音ㄉㄤ　ㄔㄜ，立於車道中，後世或將「當」解為「擋」之假借，讀作ㄉㄤˇ。「螳臂當車」指螳螂立於車道中，舉起雙臂，妄想要阻擋車子前進。比喻不自量力。＃語本《莊子．人間世》。
△「蚍蜉撼樹」",比喻不自量力。,像螳螂用小手擋大車，形容能力不夠卻想做很難的事。
26,咄咄逼人,"（一）咄咄，本為驚嘆之聲。逼人，情勢逼人。「咄咄逼人」本形容情勢險惡逼人，使人畏懼的意思。語出南朝宋．劉義慶《世說新語．排調》。後用「咄咄逼人」形容言語凌厲，氣勢逼人。
△「盲人瞎馬」、「盛氣凌人」
（二）形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。※＃語或出晉．衛鑠〈與釋某書〉。",形容言語凌厲，氣勢迫人。 ＆形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。,說話聲勢很大、語氣強硬讓人害怕；也可用來說作品氣勢強、令人佩服。
27,出類拔萃,"遠超出同類之上，高出同群。形容才能特出，超越眾人。語本《孟子．公孫丑上》。
△「出人頭地」、「超群絕倫」",形容才能特出，超越眾人。褒義。,比其他人優秀很多，能力和表現都很突出，很容易被注意到。
28,一竅不通,"一個心竅都沒有通。語本《呂氏春秋．貴直論．過理》。後用「一竅不通」比喻人昏昧不明事理，或對某事完全不懂。
△「一無所知」。",比喻人昏昧不明事理。貶義。＆比喻人對某事完全不懂。貶義。,對某件事完全不懂，一點最簡單的也弄不清楚。
29,吹毛求疵,"吹開細毛，仔細尋找皮上的小毛病。比喻刻意挑剔過失或缺點。＃語本《韓非子．大體》。
△「求全責備」",比喻刻意挑剔過失或缺點。貶義。,故意找別人很小的錯誤，不斷挑剔、批評人。
30,孤注一擲,"「孤注」，賭博時將所有資本下注。＃語出宋．司馬光《涑水記聞》卷六。「一擲」，擲一次骰子來決定勝負。※語或出《晉書．卷八五．何無忌列傳》。後以「孤注一擲」指賭博時，傾其所有而下注，並以一擲決定勝負。比喻危急時，投入全部力量，作最後的冒險。
△「背水一戰」",比喻危急時，投入全部力量，作最後的冒險。,在很危險的時候，把所有錢和力量拿出來做最後一次賭注。
31,滄海一粟,"大海中的一粒粟米。比喻渺小而微不足道。語本宋．蘇軾〈赤壁賦〉。
△「九牛一毛」",比喻渺小而微不足道。,在很大的東西裡，某樣東西很小，幾乎沒用處。
32,痛心疾首,"疾首，頭痛。心中痛恨到頭都痛了。比喻痛恨到極點。語出《左傳．成公十三年》。
△「咬牙切齒」、「深惡痛絕」",指痛恨到極點。,對某事恨得很深，心裡又痛又氣，連頭都痛了。
33,扶搖直上,"扶搖，自下盤旋而上的暴風。「扶搖直上」指隨急遽的旋風，盤旋而上。語本《莊子．逍遙遊》。後用「扶搖直上」比喻快速上升，亦用來比喻仕途得意。
△「青雲直上」",比喻快速上升。＆比喻仕途得志。,像被大風捲著往上飛，表示升得很快，工作或學業很順利
34,風聲鶴唳,"聽到風聲和鶴鳴，都以為是敵兵。語出《晉書．卷七九．謝安列傳》。後用「風聲鶴唳」形容驚慌疑懼，自相侵擾。
△「杯弓蛇影」、「風聲鶴唳，草木皆兵」、「草木皆兵」、「草行露宿」",形容驚慌疑懼，自相侵擾。,因為太害怕，聽到風吹或鳥叫都當成危險，自己嚇自己。
35,老當益壯,"指年紀雖大但身體仍然強健，且志氣豪壯。語出《後漢書．卷二四．馬援列傳》。
△「老驥伏櫪」",年紀雖大但身體仍強健，且志氣豪壯。褒義。,年紀雖大，但身體還很強壯，精神有幹勁想做很多事。
36,未雨綢繆,"還沒有下雨之前，就先把門窗修好。語本《詩經．豳風．鴟鴞》。後用「未雨綢繆」比喻事先預備以防患未然。
△「防患未然」、「防微杜漸」",比喻事先預備以防患未然。,還沒出事就先做好準備，避免問題發生，像準備雨傘、修好門窗。
37,不共戴天,"不與殺父的仇人共存於世間。◎語本《禮記．曲禮上》。後用「不共戴天」比喻仇恨極深。
△「勢不兩立」",比喻仇恨極深。,對人恨得很深，不想再和他生活在同一個世界
38,剛愎自用,"愎，任性、固執。「剛愎自用」指性情倔強，自以為是。＃語本《左傳．宣公十二年》。
△「師心自用」",形容性情倔強，固執己見。貶義。,一個人很固執，不聽別人意見，覺得自己永遠是對的。
39,出爾反爾,"你怎麼對待別人，別人也會怎麼待你。語本《孟子．梁惠王下》。後用「出爾反爾」比喻人的言行前後反覆，自相矛盾。
△「反覆無常」、「朝三暮四」、「朝秦暮楚」",比喻人的言行前後反覆，自相矛盾。貶義。,一個人常常改變主意，說過的話又反過來，讓別人無法相信他。
40,目不識丁,"連「丁」字都不認識。比喻不識字或毫無學問。＃語本《舊唐書．卷一二九．張延賞列傳》。
△「不學無術」、「胸無點墨」",比喻不識字或毫無學問。,不認識字，看不懂書，沒學過東西，知道的很少，也不讀書。
41,百折不撓,"意志剛強，即使受到很多挫折，仍不屈服。語出漢．蔡邕〈太尉橋公碑〉。
△「不屈不撓」",意志剛強，即使受到許多挫折，仍不屈服。,遇到很多困難也不放棄，一步一步努力向前，不退縮。
42,拾人牙慧,"牙慧，言談間流露出的智慧。語本南朝宋．劉義慶《世說新語．文學》。後用「拾人牙慧」比喻蹈襲他人的言論或主張。
△「人云亦云」、「拾人涕唾」",比喻蹈襲他人的言論或主張。貶義。,指沒有自己想法，只把別人的話照搬來說，沒有自己的主意。
43,耳濡目染,"「耳濡目染」之「濡」，典源作「擩」。「擩」義同「濡」。濡，習染、感染。「耳濡目染」指經常聽到、看到而深受影響。語本唐．韓愈〈清河郡公房公墓碣銘〉。
△「潛移默化」",經常聽到、看到而深受影響。,常常聽到或看到某些事，慢慢受影響，行為和想法會改變。
44,杯水車薪,"以一杯水去撲滅一車木柴所燃起的火。比喻力量太小，無濟於事。＃語本《孟子．告子上》。
△「無濟於事」",比喻力量太小，無濟於事。,像拿一杯水去撲一車木頭著的大火，幫不上忙也滅不了火勢。
45,車載斗量,"用車裝，拿斗量。形容數量很多，不可勝數。語出《吳書》。
△「汗牛充棟」",形容數量很多，不可勝數。,東西多到數不清，車也裝不完，用斗量也裝不完。
46,燃眉之急,"像火燒眉毛般緊迫。形容事態嚴重，情況危急。※語或出明．李開先〈亡妹盧氏婦墓志銘〉。
△「當務之急」",形容事態嚴重，情況危急。,事情很急，不能再拖，必須立刻想辦法解決。
47,言不由衷,"「言不由衷」之「衷」，典源作「中」。「中」同「衷」，指內心。「言不由衷」則指所說的話不是發自於內心。形容言詞與心意相違背。語本《左傳．隱公三年》。後用「言不由衷」泛指心口不一，虛應敷衍。
△「口是心非」、「言由衷發」",心口不一，虛應敷衍。,嘴巴說的跟心裡想的不一樣，敷衍應付別人哦。
48,不倫不類,"「不倫不類」有兩種解，一是不合道理、法式，二是不像樣。語本唐．劉知幾《史通．卷一六．雜說上》。後用「不倫不類」形容事物不成體統。
△「不三不四」",形容事物不成體統。貶義。,用來說人或東西看起來很亂、沒規矩、不像正常樣子。
49,虎頭蛇尾,"虎頭形大，蛇尾體小。做事起初聲勢浩大，後來卻無聲息。比喻做事有始無終。※語或出元．康進之《李逵負荊》第二折。
△「有始無終」、「龍頭蛇尾」",比喻做事有始無終。貶義。,一開始很有勁、很熱鬧，後來慢慢沒力氣，最後做不完。
50,空中樓閣,"空中顯現的樓臺觀閣。※語或本唐．宋之問〈遊法華寺〉詩。後用「空中樓閣」來比喻思想明澈通達。或比喻虛構的事物或不切實際的幻想。
△「海市蜃樓」",比喻虛構的事物或不切實際的幻想。,指沒有根據、不切實際、看起來漂亮但做不到的想法或計畫。
51,天經地義,"天地間原本如此而不容改變的道理。語本《左傳．昭公二十五年》。
△「理所當然」",天地間原本如此而不容改變的道理。,指那些很明白、很公平的基本道理，不能隨便改變，大家要一定遵守。
52,心猿意馬,"心思如猿猴不定地跳躍、快馬四處地奔馳而難以控制。比喻心思不專注集中。語本《參同契．卷上．中篇》漢．徐景休箋註。後亦用於比喻心意反覆不定。
△「心不在焉」、「見異思遷」",心意反覆不定。＆心思不專注集中。,心裡的念頭像猴子和馬一樣亂跳，沒辦法專心做事。
53,群策群力,"聚合眾人的智慧和能力。語本漢．揚雄《法言．重黎》。
△「同心同德」、「同心協力」、「戮力同心」",聚合眾人的智慧和能力。,大家一起想辦法、出力，一起幫忙完成一件事會更快更好。
54,有備無患,"事先有準備，即可免除後患。＃語出《書經．說命中》。
△「曲突徙薪」",事先有準備，即可免除後患。,事先準備好，可以避免以後發生麻煩或危險。
55,裹足不前,"包纏腳部，不往前行。形容有所顧忌，而停止腳步，不敢向前。＃語本《戰國策．秦策三》。
△「畏縮不前」",形容有所顧忌，而停止腳步，不敢向前。,因為害怕或擔心，停下腳步不敢往前走，也不願冒險。
56,戰戰兢兢,"戰，害怕而發抖，通「顫」。兢兢，小心謹慎的樣子。「戰戰兢兢」形容戒慎恐懼的樣子。語出《詩經．小雅．小旻》。
△「如臨深淵」、「如履薄冰」、「誠惶誠恐」、「暴虎馮河」、「臨深履薄」",形容戒慎恐懼的樣子。,又害怕又小心，做事時一直緊張，手腳發抖，動作很慢也不敢大聲說話.
57,借花獻佛,"借用別人的花供養佛。典出《過去現在因果經》卷一。後用「借花獻佛」比喻借用他人的東西來作人情。
△「慷他人之慨」",比喻借用他人的東西來作人情。,把別人的東西拿去送人，讓人以為是你送的心意。
58,故步自封,"「故步」，舊的步法。比喻舊方法。語出《漢書．卷一○○．敘傳上》。「自封」，自我限制。語出晉．庾闡〈斷酒戒〉。「故步自封」指安於現狀，不求進取。
△「墨守成規」",安於現狀，不求進取。貶義。,不願學新方法，一直用老方法，不想改變也不想進步。
59,笑裡藏刀,"笑容的後面藏著刀。形容人外貌和善可親，內心卻陰險狠毒。＃語本《舊唐書．卷八二．李義府列傳》。
△「口蜜腹劍」",比喻人外貌和善可親，內心卻陰險狠毒。貶義。,表面笑容滿面，心裡暗藏壞心，會暗中傷害別人。
60,水到渠成,"水流過處自然成渠。比喻事情自然發展，結果自成。※＃語或出宋．蘇軾〈答秦太虛書〉其四。後亦用「水到渠成」比喻事情條件完備則自然成功，不須強求。
△「水到魚行」、「瓜熟蒂落」",比喻事情自然發展，結果自成。＆比喻事情條件完備則自然成功，不須強求。,條件準備好後，事情會慢慢順利完成，不用硬拉。
61,芒刺在背,"像是有許多細小的芒刺沾在背上。比喻因畏忌而極度不安。語出《漢書．卷六八．霍光金日磾傳．霍光》。
△「如坐針氈」",比喻因畏忌而極度不安。,覺得非常害怕又緊張，好像背上有刺在扎，心裡很不舒服。
62,開門見山,"一開門就見到對門的山巒。比喻說話或寫文章直接了當，一開始就進入正題。※語或出宋．嚴羽《滄浪詩話．詩評》。
△「開宗明義」",一開門就見到山巒。＆比喻說話或寫文章直截了當，一開始就進入正題。,說話或寫文章很直接，一開始就講重點，不用多說廢話。
63,土崩瓦解,"土石崩塌、磚瓦破碎。比喻人民的反抗，及政權內部的爭鬥。語本《史記．卷一一二．主父偃列傳》。後亦用「土崩瓦解」來比喻澈底潰敗，不可收拾。
△「分崩離析」",形容土石崩塌、磚瓦破碎的情景。＆比喻澈底潰敗，不可收拾。,形容土石和屋瓦倒塌，也用來說某個團隊或政府完全垮掉、救不回。
64,東施效顰,"春秋越國醜女東施模仿美女西施捧心皺眉，然卻更見其醜。比喻盲目胡亂地模仿他人，結果卻適得其反。典出《莊子．天運》。
△「邯鄲學步」",比喻盲目胡亂地模仿他人，結果卻適得其反。貶義。,不分場合盲目學別人的樣子，弄得更糟更難看。
65,從善如流,"聽從好的意見，就像流水般的自然順暢。比喻樂於接受別人好的意見。◎語出《左傳．成公八年》。
△「從誨如流」、「從諫如流」",比喻樂於接受別人好的意見。,願意聽別人好意見，很快又自然地接受並改進自己的做法。
66,袖手旁觀,"把手縮在袖子裡，在一旁觀看。形容置身事外，不予過問。語本唐．韓愈〈祭柳子厚文〉。
△「冷眼旁觀」",形容置身事外，不予過問。,站在一邊不出手、不幫忙，只看不管發生的事。
67,因勢利導,"順著事物發展的趨勢，朝有利的方向引導。語本《史記．卷六五．孫子吳起傳．孫子》。
△「順水推舟」",順著事物發展的趨勢，朝有利的方向引導。,依照事情的走向，把做法調整到對大家有利的方向。
68,畏首畏尾,"前也畏懼，後也畏懼。語出《左傳．文公十七年》。後用「畏首畏尾」形容疑慮顧忌，膽小怕事。
△「左顧右盼」、「鹿死不擇音」、「鋌而走險」",形容疑慮顧忌，膽小怕事。,做事前後都很害怕，擔心得什麼都不敢做了。
69,名不虛傳,"名聲與實際相符，而非徒有虛名。※◎語或本《史記．卷七五．孟嘗君列傳》。
△「名副其實」",名聲與實際相符，而非徒有虛名。褒義。,大家說他很厲害，那是真的有能力，不是假的名聲。
70,喪心病狂,"「喪心」，失掉本心。語出《左傳．昭公二十五年》。「病狂」，瘋狂的病症。語出《漢書．卷七三．韋賢傳》。「喪心病狂」指喪失理性，舉止荒謬、反常。亦用來形容人殘忍可惡到了極點。
△「喪盡天良」",形容人殘忍可惡到了極點。貶義。,用來形容一個人失去理智，做出殘忍又可怕的事情。
71,見異思遷,"見到別的事物就改變心意，比喻意志不堅定。＃語本《管子．小匡》。
△「心猿意馬」",比喻意志不堅定。貶義。,看到別的東西就改變主意，做事不會堅持，很容易放棄。
72,明察秋毫,"目光敏銳，可看見秋天鳥獸新長的毫毛。＃語本《纏子》。後用「明察秋毫」比喻洞察一切，能看到極細微的地方。
△「洞若觀火」",比喻人能洞察一切，看到極細微的地方。,眼睛很厲害，能發現最小、最細的地方或差別。
73,作威作福,"君主獨攬權勢，專行賞罰。語本《書經．洪範》。後用「作威作福」指仗著權勢欺壓別人。
△「橫行霸道」",仗著權勢欺壓別人。貶義。,仗著有權力欺負別人，亂下命令讓大家很不舒服。
74,兩袖清風,"（一）形容喝茶或飲酒後清爽舒暢的感覺。※語或出元．高文秀《遇上皇》第一折。
△「兩腋清風」
（二）形容瀟灑飄逸、超脫凡俗的樣子。※語或出元．陳基〈次韻吳江道中〉詩。
（三）除兩袖之清風外，身上別無所有。形容作官廉潔，毫無貪贓枉法之事。＃語本明．田汝成《西湖遊覽志餘．卷八．賢達高風》。
△「囊空如洗」、「兩腋清風」",形容瀟灑飄逸、超脫凡俗的樣子。＆形容做官廉潔，毫無貪贓枉法之事。,有人很輕鬆自在，不愛名利；當官清白，沒拿別人的錢。
75,明目張膽,"張大眼，壯著膽。形容有膽識，無所畏懼。＃語本《史記．卷八九．張耳陳餘列傳》。後用「明目張膽」比喻肆無忌憚地公然做壞事。
△「明火執仗」",比喻肆無忌憚地公然做壞事。,當著大家的面，公然做壞事，一點也不覺得害怕或不好意思。
76,肝膽相照,"以肝膽互相照見。比喻赤忱相處。＃語本《史記．卷九二．淮陰侯列傳》。
△「肝膽照人」、「披肝瀝膽」",比喻赤忱相處。,彼此把心裡的話和感受都說出來，真心對待、互相信任。
77,民不聊生,"聊生，賴以維生。「民不聊生」指人民無法生活下去。形容百姓生活非常困苦。＃語本《戰國策．秦策四》。
△「生靈塗炭」",形容百姓生活非常困苦。,很多人連飯都吃不飽、沒有家可住，日子過得很辛苦。
78,明哲保身,"明達事理、洞見時勢的人，不參與會帶給自己危險的事。語本《詩經．大雅．烝民》。後亦用「明哲保身」指為了個人得失而喪失原則的庸俗處世態度。
△「獨善其身」",明達事理、洞見時勢的人，不參與會帶給自己危險的事。＆為了個人得失而喪失原則的庸俗處世態度。,看清狀況後不參與危險的事，為保自己而放棄原則。
79,妄自菲薄,"隨意看輕自己，不知自重。＃語出三國蜀．諸葛亮〈出師表〉。
△「自暴自棄」",隨意看輕自己，不知自重。,把自己看得很差、沒自信，常覺得做不到而放棄努力。
80,泥牛入海,"泥塑的牛掉入海中。比喻人種種互相矛盾的思慮被解開。＃語本《祖堂集．卷六．洞山和尚》。後用「泥牛入海」比喻一去不復返。
△「杳如黃鶴」",比喻一去不復返。,像泥做的牛掉進大海，掉了就回不來，也找不到了。
81,休戚相關,"彼此歡樂憂愁、幸福禍患，互相關聯。語本《國語．周語下》。後用「休戚相關」形容彼此間的關係密切，利害一致。
△「休戚與共」",形容彼此間的關係密切，利害一致。,兩個人或一群人的高興、難過、好處和麻煩會互相影響。
82,重整旗鼓,"重新整頓發號施令的旗幟和戰鼓。比喻失敗後積聚力量，重新行動。※語或本《圓悟佛果禪師語錄》卷一七。
△「另起爐灶」",比喻失敗後積聚力量，重新行動。,失敗後把事情和人重新整理好，積蓄力量再出發。
83,脣亡齒寒,"沒有了嘴脣，牙齒就會感到寒冷。比喻關係密切，利害相關。◎語出《左傳．僖公五年》。
△「脣齒相依」、「輔車相依」",比喻關係密切，利害相關。,兩者關係很緊密，一方出事另一方也會受影響。
84,文過飾非,"「文過」，掩飾過失。語本《論語．子張》。「飾非」，遮掩過錯。語出《莊子．盜跖》。「文過飾非」指掩飾過失、錯誤。
△「諱疾忌醫」",掩飾過失、錯誤。,把自己的錯誤藏起來，不承認，想讓別人看不出來或不責備。
85,別出心裁,"「別出心裁」之「心」，典源作「新」。心裁，心中的設計謀畫。「別出心裁」，形容獨出巧思，不同流俗。※語或本明．李贄〈忠義水滸傳全書發凡〉。
△「自出機杼」、「別出新意」",獨出巧思，不同流俗。褒義。,想出新的點子，跟別人不一樣，想法很特別。
86,大公無私,"謂秉公處理，毫無偏私。語本《管子．形勢解》。
△「鐵面無私」、「鐵面御史」",秉公處理，毫無偏私。褒義。,對人對事很公平，不偏私，不為自己謀利，只想公平處理。
87,落井下石,"本指別人掉入陷阱或井中，不但不相救，反而向他投擲石塊。比喻乘人危難時，加以陷害。語本唐．韓愈〈柳子厚墓誌銘〉。
△「乘人之危」",比喻乘人危難時，加以陷害。,別人遇到困難時，不幫忙還欺負他，讓情況更糟。
88,臨渴掘井,"等到口渴時才挖井取水。比喻事到臨頭才著手準備，為時已晚。＃語本《黃帝內經素問．卷一．四氣調神大論》。
△「臨陣磨槍」",比喻事到臨頭才著手準備，為時已晚，無濟於事。,等到急需才開始準備，已經來不及，幫不上忙。
89,八面玲瓏,"形容屋子四面八方敞亮通明。語本唐．盧綸〈賦得彭祖樓送楊宗德歸徐州幕〉詩。後用「八面玲瓏」形容人言行手段，十分巧妙，處世圓融。
△「面面俱到」",形容屋子四面八方敞亮通明。＆形容人言行手段，十分巧妙，處世圓融。,指房間四面明亮，也說人說話做事很會照顧別人的感受。
90,一揮而就,"一動筆，文章就寫成了。形容才思敏捷，落筆成章。語本《摭言》。後用「一揮而就」形容在書畫作文方面的敏捷高超。
△「一氣呵成」、「一揮立就」、「下筆成章」、「援筆立成」",形容在書畫作文方面的敏捷高超。,一揮而就指的是寫畫或作文一下筆就完成，又快又好。
91,一意孤行,"謝絕一切請託，按照己意獨立處理公事。語本《史記．卷一二二．酷吏列傳．張湯》。後用「一意孤行」形容人固執己見，獨斷獨行。
△「我行我素」",形容人固執己見，獨斷獨行。貶義。,一個人不聽別人意見，只按自己的想法去做，不管別人怎麼說
